"/////////////////////////"
"/Y                    X /"
"/                       /"
"/                       /"
"/                       /"
"/     K                 /"
"/                       /"
"/                       /"
"/                       /"
"/           D     K     /"
"/                       /"
"/     K                 /"
"/                       /"
"/           P           /"
"/                       /"
"/                       /"
"/                       /"
"/                       /"
"/                       /"
"/                       /"
"/                       /"
"/                     Y /"
"/ X                     /"
"/                       /"
"/////////////////////////"
